,id,accepted,consent_form_id,user_id,created_at,updated_at,presented
355,356,,2,614,2020-02-03 19:38:49,2020-02-03 19:38:49,0.0
356,357,1.0,2,615,2020-02-26 11:36:37,2020-02-26 11:36:47,1.0
357,358,,2,616,2020-03-05 05:41:32,2020-03-05 05:41:32,0.0
358,359,,2,617,2020-03-09 15:23:29,2020-03-09 15:23:29,0.0
359,360,0.0,2,618,2020-03-19 13:35:39,2020-03-19 13:36:06,1.0
360,361,1.0,2,619,2020-03-26 00:05:08,2020-03-26 00:06:04,1.0
361,362,,2,620,2020-03-27 11:26:44,2020-03-27 11:26:44,0.0
362,363,1.0,2,621,2020-04-20 14:37:37,2020-04-20 14:38:06,1.0
363,364,1.0,2,4,2020-04-22 00:16:22,2020-04-22 00:16:33,1.0
364,365,0.0,2,622,2020-04-26 12:16:41,2020-04-26 12:17:38,1.0
365,366,1.0,2,623,2020-05-01 17:12:08,2020-05-01 17:12:18,1.0
366,367,1.0,2,624,2020-05-19 15:12:15,2020-05-19 15:12:32,1.0
367,368,1.0,2,625,2020-05-31 23:38:45,2020-05-31 23:38:57,1.0
368,369,1.0,2,626,2020-06-01 18:06:53,2020-06-01 18:07:11,1.0
369,370,1.0,2,627,2020-06-02 17:06:57,2020-06-02 17:07:06,1.0
370,371,1.0,2,628,2020-06-02 17:07:53,2020-06-02 17:08:02,1.0
371,372,,2,630,2020-06-02 17:19:18,2020-06-02 17:19:18,0.0
372,373,1.0,2,629,2020-06-02 17:50:58,2020-06-02 17:51:07,1.0
373,374,1.0,2,632,2020-06-30 17:42:02,2020-06-30 17:43:55,1.0
374,375,,2,633,2020-07-04 15:05:31,2020-07-04 15:05:31,0.0
